Location,Region Name,Zone Name,lat,lng,Number of staff,Number of Doctors,Percentage of underweight Children,Proportion of children 6-59 months with severe acute malnutrition,Proportion of HHs using latrine,Malaria rate,Proportion of  households covered with mosquito bed nets(LLIN),Proportion of functional 1 to 5 networks,Health budget utilization,Essential drugs availability,Integrated Supportive supervision,Reporting completeness
mirab belesa,amhara,north gondar,12.4908538314,37.8358190937,169.0,0.0,8813.58230591,4264.28136826,11467.4060669,34.1959421387,2556.68164062,6696.436203,199.030532837,2338.0,14483.333252,17602.7343597
misha,snnpr,hadiya,7.75151260566,37.7618529247,146.0,0.0,265.618280888,738.296882212,52590.1309204,2.00715940094,67.1641769409,17149.3885193,200.0,1039.5,3253.3841095,4735.05292511
miyo,oromiya,borena,3.8178620369,38.7693051301,22.0,0.0,281.927978873,0.0,14350.9801255,2.72777779007,749.162506103,27272.3399963,200.0,1477.0,1200.0,13780.0
mizan aman t,snnpr,bench maji,6.994883,35.585189,0.0,0.0,23.4934538305,14.311199218,14350.9801255,0.549950397968,749.162506103,18915.9616089,100.0,1039.5,100.0,2281.8181839
modjo,oromiya,east shewa,8.588712,39.123714,31.0,0.0,20.3537420034,173.495632529,100.0,1.01953465962,749.162506103,18915.9616089,200.0,800.0,175.0,2600.0
mojanawodera,amhara,north shoa,9.92479608526,39.5284841301,94.0,0.0,1813.43598831,660.376145691,14707.4211426,0.1,0.0,24345.6549988,298.841674805,1008.0,8415.00006104,8480.0
moretinajiru,amhara,north shoa,9.94221337193,39.1487289191,128.0,0.0,1543.48227406,231.488357216,135678.561768,6.07664878082,900.0,23841.3258667,200.0,1166.0,4449.99995804,9026.19052124
motta,amhara,east gojam,11.079426,37.878736,106.0,0.0,24.5354138166,208.093945634,14350.9801255,0.325453644931,749.162506103,3729.7808075,200.0,281.0,600.0,2400.0
moyale,oromiya,borena,3.82804904639,39.1651774948,106.0,0.0,2415.9381088,832.511259556,98372.1629639,9.05333554745,749.162506103,34932.684082,200.0,1347.0,9229.16665649,13900.0
moyale,somali,somali,4.2135991458,39.9768612148,179.0,0.0,8410.1758728,6198.29090595,14350.9801255,0.978030014038,2700.0,175.0,200.0,837.0,1283.33325195,400.0
mubarak,somali,somali,0.0,0.0,106.0,0.0,1268.63806152,271.789811134,344.226928711,0.48713487339,749.162506103,213.339435577,200.0,290.0,4466.66665649,1566.66664886
mulo,oromiya,finfine special,9.31566161434,38.6251245595,35.0,0.0,2952.64434338,1126.8273046,239008.541229,0.1,749.162506103,7035.22103882,197.105712891,864.0,6292.42416382,11525.0
munesa,oromiya,arsi,7.53474762851,38.9816753502,106.0,0.0,6658.29829216,2696.90553403,12070.8891602,0.5,749.162506103,23224.4255867,200.0,1458.0,6668.33337402,16890.5869293
mustahil,somali,somali,5.45311735422,44.7605844773,106.0,0.0,100.0,3574.81246948,1341.69525146,9.1353583374,749.162506103,4120.93798447,200.0,311.0,360.0,1667.85713959
muyumuluko,somali,somali,8.43852125803,42.2332180952,16.0,0.0,93.3703346252,30.8510627747,14350.9801255,0.164705879211,749.162506103,18915.9616089,200.0,70.0,4466.66665649,600.0
naeder adet,tigray,tigray,13.8419151907,38.6853893118,158.0,0.0,5617.45007324,2400.51205349,148934.833496,32.5188375244,749.162506103,47303.5802612,449.251464844,1743.0,11225.555542,12400.0
nedjo,oromiya,west wollega,9.54760782874,35.46298838,79.0,0.0,1329.1872282,730.879030257,142742.417969,30.226429657,4900.0,72094.3209229,60.0,1664.0,27899.9998779,15800.0
negele town,oromiya,guji,5.333182,39.574557,64.0,0.0,179.903636098,199.54866153,14350.9801255,3.92443212605,749.162506103,18915.9616089,100.0,420.0,100.0,2525.99206543
ngangatom,snnpr,south omo,5.23980978265,35.9576360098,0.0,0.0,131.960222691,212.418702066,100.0,1.83773292923,749.162506103,1956.86130524,118.884498596,1039.5,100.0,1781.81817627
nifas silk,addis ababa,addis ababa,8.95210135154,38.7288474828,1235.0,0.0,370.106192589,1040.52891135,14350.9801255,6.08365846729,749.162506103,18915.9616089,870.050842285,2028.0,442.857143402,9826.66668701
nole kaba,oromiya,west wollega,8.81455360051,35.5897223544,94.0,0.0,1175.3434577,300.196091533,21599.6726074,4.34181103706,1700.0,43335.2849121,200.0,654.0,12000.0,10155.555542
nonno,oromiya,jimma,0.0,0.0,41.0,0.0,2009.29345798,328.742128193,16214.928833,10.0267779236,1900.0,27385.5547485,100.0,947.0,14400.0,8949.12280273
nono,oromiya,ilu ababor,7.87731299191,35.1823106897,24.0,0.0,1518.85241175,180.288011074,213431.728516,1.73388372469,1579.10021973,2943.35513306,100.0,382.0,8744.722229,4666.66665649
nono,oromiya,west shoa,8.51879599536,37.4436758938,62.0,0.0,3020.63114882,1701.72817731,152178.554688,31.4478617554,2497.34472656,37119.875061,200.0,785.0,19803.0700684,11116.9590454
nopha,oromiya,ilu ababor,8.40629676544,35.5357039565,51.0,0.0,1357.60925293,263.593186677,11074.6588135,1.83315475941,600.0,30281.0409546,89.9999313354,539.0,7556.66659546,6592.05413818
north ari,snnpr,south omo,6.15883968216,36.6411439831,55.0,0.0,111.380113006,94.8636029847,434.029914856,1.42720470428,0.0,1275.16540337,96.3688049316,1039.5,258.838352203,2217.01255798
north bench,snnpr,bench maji,7.06673262352,35.6361227452,252.0,0.0,4.42900432274,0.432721328922,793.096801758,1.09249019814,166.587516785,2396.93804169,82.2216262817,1039.5,550.145793915,2712.73905182
nunu kumba,oromiya,east wolega,8.70287258005,36.7189557962,94.0,0.0,1896.74279118,1419.10643184,8078.26098633,7.5771368103,1100.0,30468.9243164,241.092025757,999.0,4658.33325195,5194.04761505
oda bultum,oromiya,west hararge,8.67842294554,40.9973906824,92.0,0.0,6643.53631592,2679.45818138,185135.703369,1.21582226562,1835.29516602,37482.7991638,56.5144500732,1316.0,18373.1090088,14852.6956711
oddabildiglu,benishangul-gumuz,benishangul-gumuz,10.1175362904,35.1021090283,106.0,0.0,4005.87846446,3175.56937981,670827.633179,25.4911837158,749.162506103,18750.7723503,200.0,583.0,4616.66650391,4705.03900146
offa,snnpr,wolayta,6.71507887111,37.5412502524,78.0,0.0,781.086123705,23228.3417586,8014.30078125,3.19889714813,2722.984375,23687.5771484,161.697952271,1039.5,7098.66760254,4684.12697601
ofla,tigray,tigray,12.5396138892,39.3811729475,87.0,0.0,5571.32077026,788.026918888,180455.801758,5.10329364777,800.0,49052.6011963,200.0,1768.0,15099.9997559,11068.0219727
omo nada,oromiya,jimma,7.53845361296,37.2238494181,65.0,0.0,3155.73922729,1881.88140869,36594.4956055,1.90375085449,1298.31323242,43519.7547607,65.1703720093,2677.0,27275.7145996,22910.1759567
oyda,snnpr,gamo gofa,6.17894478145,36.8094995874,137.0,0.0,25.177624926,2.95085274801,492.22492218,1.15215747547,70.7236862183,2397.30010223,3414.56692886,1039.5,477.590652466,2198.09941864
pawi,benishangul-gumuz,benishangul-gumuz,11.3020480331,36.419411243,106.0,0.0,587.879990518,59.3250368088,130261.889404,19.6755155067,794.605834961,26089.3977661,200.0,416.0,4454.16662598,3600.0
qarsaa,oromiya,jimma,7.76760331744,37.0020779158,111.0,0.0,3212.36592484,352.49868685,24477.673584,3.4029337914,1731.48925781,36698.1716309,600.0,1645.0,16558.3331909,15437.6510162
qdemay woyan woreda,tigray,tigray,0.0,0.0,75.0,0.0,20.940084517,24.4294734672,14350.9801255,0.541581037521,749.162506103,18915.9616089,83.0687484741,306.0,300.0,951.01008606
quara,amhara,north gondar,12.2164060243,35.856656457,19.0,0.0,4717.54915762,1751.00412488,7195.21166229,24.5689703598,749.162506103,15042.2609806,200.0,3435.0,3933.33331299,10189.444458
quarit,amhara,west gojam,10.9709700844,37.4381178228,253.0,0.0,434.491939306,21.1634260416,21721.9182129,37.0939553223,707.806640625,70477.9788818,281.95703125,2211.0,26338.333252,27581.2290649
qubbi,somali,somali,7.826373,41.86991,15.0,0.0,142.573917389,61.1167869568,14350.9801255,0.296491226196,749.162506103,18915.9616089,83.0533981323,90.0,0.0,760.0
quha woreda,tigray,tigray,0.0,0.0,49.0,0.0,141.906040847,25.3244505525,14350.9801255,0.57221111393,749.162506103,18915.9616089,200.0,286.0,566.666664124,800.0
qumbii,oromiya,east hararge,8.122221,37.488243,106.0,0.0,2972.77388096,3774.31085968,14350.9801255,0.662776609898,749.162506103,4928.15886688,200.0,451.0,200.0,4338.27383423
raso,somali,somali,6.548591,41.792496,106.0,0.0,1147.2881012,360.162380219,14350.9801255,0.548597196579,749.162506103,18915.9616089,200.0,83.0,100.0,908.888885498
raya alamta,tigray,tigray,0.0,0.0,263.0,0.0,2389.12444305,979.826576233,466994.457031,12.0919317932,713.738098145,33844.166626,282.091949463,1476.0,9459.99993896,11051.6666565
raya azebo,tigray,tigray,12.6631631382,39.7435432702,131.0,0.0,1992.25400925,620.862013578,293988.510742,24.9941574707,1151.25683594,26159.4517212,88.676651001,2404.0,12420.6350708,10333.8553925
raya kobo,amhara,north wollo,12.153495,39.635331,106.0,0.0,18293.5137939,2533.82468796,133624.380859,27.1663000488,749.162506103,31204.1409874,200.0,3529.0,31971.4284668,29287.7055664
rayitu,oromiya,bale,6.84065139966,41.4388180883,21.0,0.0,3644.28883362,503.081141949,118597.188477,0.183618453026,974.968322754,34301.9160156,100.0,827.0,6574.99993896,8529.1706543
robe,oromiya,arsi,7.68245125372,39.7859747838,106.0,0.0,11999.9679565,6230.62958908,32316.4835205,5.87685002899,749.162506103,39039.9604797,200.0,1293.0,4525.00003815,11654.8016663
s/samre,tigray,tigray,13.203694768,39.1737671808,111.0,0.0,2274.26361084,443.166344643,352655.651733,22.288750946,826.299987793,42174.6361084,67.7604522705,1510.0,14024.9998779,10889.0476379
sabian,dire dawa,dire dawa,9.6113,41.83709,46.0,0.0,1165.61646289,1170.01377302,350.0,2.41663837355,0.0,1794.0,79.9237747192,1455.0,566.66664505,4020.62918091
saesie tsaeda emba,tigray,tigray,14.1662259875,39.6322861112,119.0,0.0,3229.87356186,808.76270628,897402.17334,5.35977440166,699.012573242,64302.5686035,179.458648682,2160.0,16482.6496582,14545.3703918
sagag,somali,somali,7.46568850518,42.684105834,18.0,0.0,154.736846924,11.8644065857,14350.9801255,0.29,749.162506103,18915.9616089,200.0,84.0,4466.66665649,500.0
saint,amhara,south wolo,11.064915752,38.7794224292,126.0,0.0,15969.3946533,2735.78499031,33967.4318848,14.4524502563,1242.55664062,27699.1399689,500.0,1543.0,7408.33340454,16415.7807007
salahaad,somali,somali,7.51782542069,42.0016479106,7.0,0.0,332.354804993,91.4241662025,14350.9801255,0.570645172119,749.162506103,18915.9616089,200.0,90.0,4466.66665649,600.0
salamago,snnpr,south omo,5.93618989115,36.1553266699,36.0,0.0,247.310663939,139.72158891,14350.9801255,1.34321025467,749.162506103,1377.8993721,107.216491699,1039.5,183.333332062,1893.59380722
samara- logiya,afar,afar,0.0,0.0,106.0,0.0,1200.57736588,886.412379265,14350.9801255,1.20261047411,749.162506103,18915.9616089,200.0,464.0,741.666664124,2288.09525299
samurobi,afar,afar,9.91743998983,40.1516023484,106.0,0.0,2554.62273598,397.079404235,14350.9801255,12.4123201141,749.162506103,2650.0,200.0,615.0,50.0,1358.09521484
sankura,snnpr,silte,7.52842511851,38.1646710623,251.0,2.0,133.867442131,18.3250591904,545.434898376,0.196836360574,189.021347046,2325.8093338,88.5413894653,1039.5,448.319936752,2354.65063477
sasiga,oromiya,east wolega,9.21288346304,36.3972605677,155.0,0.0,4900.41629028,1914.39095449,58373.1989746,23.06972995,1711.07202148,31011.4821777,225.995803833,1243.0,8468.21429443,7889.2857666
sawula tawon,snnpr,gamo gofa,6.30054,36.878808,296.0,0.0,328.162742287,82.472158581,14350.9801255,0.104293162137,749.162506103,18915.9616089,100.0,1039.5,200.0,1296.78362656
sayelem,snnpr,kaffa,7.86648321606,35.8015546706,0.0,0.0,13.537628375,0.279777422547,881.356651306,0.0,749.162506103,2376.67503357,100.0,1039.5,561.84041214,2389.20454407
sayo nole,oromiya,west wollega,8.78883836166,35.8018602381,62.0,0.0,639.422588825,673.637355149,41035.3322754,3.56416310763,900.0,48531.6772461,109.302230835,936.0,11783.3331604,10439.0765381
seba boru,oromiya,guji,5.41274277133,38.999946633,172.0,0.0,5526.38118553,2366.08965969,3058.92272949,20.3197396393,1135.27307129,18513.6158142,115.40071106,1344.0,1124.99998856,9037.85708618
sebeta hawas,oromiya,finfine special,8.910047,38.626079,147.0,0.0,1580.01346159,994.012528658,147497.726868,27.2092484436,1464.50817871,26075.829895,536.805969238,1675.0,4683.33337402,12978.8888626
sedal,benishangul-gumuz,benishangul-gumuz,10.5299269013,35.1995037616,26.0,0.0,1306.9327116,1580.04480004,11725.109314,8.81658459473,999.146850586,5342.33675385,0.0,296.0,1066.66662598,3192.8571434
sedensoddo,oromiya,south wollo,8.41947588714,38.3057645931,42.0,0.0,8739.77391815,4090.47891998,2072.47070312,0.102941176414,749.162506103,9203.43334198,200.0,956.0,2983.33333206,7841.66665649
sehala,amhara,waghimra,12.9314084585,38.499894294,78.0,0.0,6471.09130096,1062.2057786,30338.3456421,11.6598245087,749.162506103,8001.84561157,91.1192855835,571.0,7491.66668701,4892.85713959
seka cekorsa,oromiya,jimma,7.65057850657,36.6571190078,75.0,0.0,2756.70065594,425.680172592,27327.8571777,4.88453320122,1799.25622559,71641.9752197,46.8637046814,1975.0,1833.33332825,25306.7226398
sekela,amhara,west gojam,10.994510294,37.2056678502,191.0,0.0,811.635859013,412.053369969,15216.7726593,39.5553699875,1300.0,46653.059803,96.7725601196,2363.0,19025.0,28000.0
sekota town,amhara,waghimra,12.628906,39.035497,106.0,0.0,4271.74287248,2138.24382401,2874.93966675,0.255494595051,749.162506103,3957.00083923,200.0,346.0,2183.33334351,5541.66665649
sekota woreda,amhara,waghimra,12.6516904605,39.0602865475,106.0,0.0,16932.4299316,11659.5139694,36260.4195557,23.638040863,749.162506103,36667.6938477,200.0,1815.0,13899.9998779,17859.027832
semen achefer,amhara,west gojam,11.7030673281,36.9503431983,194.0,0.0,350.085137084,150.996949956,41722.0414047,17.5735472832,2327.37670898,42429.892334,532.983642578,1728.0,17541.6665955,15900.0
semen woreda,tigray,tigray,0.0,0.0,58.0,0.0,27.2180307209,19.7584498525,14350.9801255,0.848381822586,749.162506103,18915.9616089,83.2115020752,155.0,400.0,7625.0
sentema,oromiya,jimma,8.06194292174,36.2352719295,57.0,0.0,4803.53891754,3348.79074097,18766.1520996,0.539217170715,749.162506103,15564.3778687,88.1236190796,1146.0,10211.6666565,11905.4557953
seru,oromiya,arsi,7.73060298495,40.344506224,106.0,0.0,8196.45767212,1913.26781368,5418.18289185,3.69155189514,749.162506103,7652.36416626,200.0,382.0,7775.0,3966.66665649
sewena,oromiya,bale,7.24540230447,41.5070909204,58.0,0.0,11580.9519691,2359.83129883,63159.9849014,4.6065556469,1071.05895996,45506.463501,27.783372879,1296.0,15047.9422607,13661.8400154
seyyo,oromiya,kellem,8.45110666949,34.8214607572,117.0,0.0,3123.23475313,1738.95211744,26520.6311035,10.1932896729,1065.61376953,38250.9510498,324.03338623,1181.0,16800.0,16194.0803337
shabe,oromiya,jimma,7.50611665375,36.5185781354,128.0,0.0,2347.11508751,1113.88672686,14391.2928467,13.0314119415,2000.0,28060.1189575,409.952484131,1230.0,13179.1663818,10815.9525223
shakiso town,oromiya,guji,5.76562,38.91145,87.0,0.0,6301.80383301,3855.07385254,32752.9091797,11.9923893127,2200.0,12466.1633911,182.001495361,1232.0,13887.5,11990.3225708
shala,oromiya,west arsi,7.33284845875,38.4032913996,137.0,0.0,33919.1473999,9907.06813049,28452.2878418,14.2698998718,3159.31762695,83798.378418,694.235961914,2039.0,31400.0,18476.5618057
shambu town,oromiya,horo guduru welega,9.565331,37.098641,44.0,0.0,74.1454601288,8.55236645043,1345.33894348,1.77067332518,749.162506103,583.164923191,100.0,550.0,2866.66664124,5666.66665649
shashemene,oromiya,west arsi,7.20173540843,38.5903654842,106.0,0.0,34084.9853516,10509.2090759,72286.5612793,23.9953063354,749.162506103,57095.869751,200.0,1699.0,22865.3845215,1709.09091187
shashogo,snnpr,hadiya,7.49975180552,38.0263164021,307.0,0.0,3607.63137627,1213.45099258,3928.44137573,5.50691794205,110.384750366,11252.4677429,106.176261902,1039.5,2414.65048981,2857.62349701
shaygosh,somali,somali,7.44718151195,44.1637405552,106.0,0.0,122.140324116,36.9651489258,14350.9801255,1.5,749.162506103,550.0,200.0,120.0,4466.66665649,300.0
shebedino,snnpr,sidama,6.87381416054,38.4500028372,536.0,0.0,676.235595226,1103.29025316,4456.79492188,1.16387240052,749.162506103,11464.4112244,1813.06530762,1039.5,3178.69868469,11993.3333435
shebel berenta,amhara,east gojam,10.3465516415,38.3710965116,117.0,0.0,2063.97948074,617.015447021,24190.8797607,16.7484835358,1500.0,29656.9818268,363.304107666,1535.0,15233.3334961,12621.6666565
sheko,snnpr,bench maji,7.07891662288,35.4547546215,70.0,0.0,22.6272212863,44.8305696286,3299.88188171,0.969135041237,687.894500732,4547.33772278,48.2250518799,1039.5,1333.32548523,2375.76330566
shenkor,harreri,harreri,9.318443,42.127098,106.0,0.0,0.0,0.952380955219,144366.029083,0.1,96.25,273.064437866,200.0,380.0,200.0,300.0
sherkole,benishangul-gumuz,benishangul-gumuz,10.6630323339,34.8081994785,106.0,0.0,4919.4681778,2553.81887436,93164.6826172,21.8873922386,749.162506103,14838.5032616,200.0,300.0,2750.0,2594.16665649
shewarobitt tawon,amhara,north shoa,9.993829,39.897108,54.0,0.0,539.846166372,37.5956722274,5325.33700562,2.30536270571,749.162506103,8481.05900574,200.0,520.0,2192.5,15066.666687
shey bench,snnpr,bench maji,6.89954631478,35.7428228211,250.0,0.0,76.3933773786,62.1507428987,5212.93951416,2.01283720016,1420.44567871,5302.00991058,291.063537598,1039.5,2705.95985413,7039.76193237
shilabo,somali,somali,6.13542110472,45.0871439703,106.0,0.0,638.535660744,59.7967243195,14350.9801255,9.12610732079,749.162506103,18915.9616089,200.0,18.0,4466.66665649,33.3333320618
shinle,somali,somali,10.2227877074,41.931014896,106.0,0.0,857.336330891,1101.79674864,11470.2666626,3.32110391998,749.162506103,3394.82141113,200.0,332.0,4416.66654205,4104.53617859
shirka,oromiya,arsi,7.56105512726,39.5666242016,106.0,0.0,2861.54772568,1419.63271928,18788.376709,2.93097594833,749.162506103,41803.2803955,200.0,1301.0,19791.6665039,15600.0
shraro,tigray,tigray,14.396877,37.772841,53.0,0.0,51.8767820448,104.784943718,14350.9801255,0.3,749.162506103,18915.9616089,32.8167304993,280.0,800.0,2400.0
sibu sire,oromiya,east wolega,9.14462338094,36.8035966534,16.0,0.0,1382.56837797,105.399762705,14641.7888489,10.0149041443,1467.36328125,27471.4155273,173.913040161,998.0,3031.99996948,9207.31439209
sigimo,oromiya,jimma,7.95360753936,36.0019742611,96.0,0.0,5102.98859501,2073.36489224,15546.7510986,0.255,749.162506103,32480.9256592,388.708465576,975.0,12425.0001221,10333.9377136
silti,snnpr,silte,7.93935398186,38.3238093799,268.0,2.0,116.097913504,42.9631329924,890.089683533,0.320933991432,97.6081542969,2065.48997116,200.0,1039.5,600.951972961,2355.9124527
simada,amhara,south gondar,11.3334053641,38.3683395845,326.0,0.0,11127.4882431,3383.01843071,18457.4504395,40.9251873779,749.162506103,75801.0629883,160.220993042,2691.0,32300.0,14311.4285889
sinan,amhara,east gojam,10.5160583742,37.7808239265,130.0,0.0,785.572706461,787.161135435,149463.477905,5.61816676712,100.090576172,24780.4240112,412.1953125,1640.0,4988.33331299,12869.9275513
siraro,oromiya,west arsi,7.12408160836,38.1825829158,102.0,0.0,26450.2542114,5968.5449028,28810.7866211,4.30488249779,2293.12988281,63015.7241211,10.0,2217.0,23733.333252,18987.5
sire,oromiya,arsi,8.32012733618,39.5068714791,106.0,0.0,4739.38159943,1961.92913246,9561.71789551,4.97831267357,749.162506103,23991.6743774,200.0,1040.0,9199.99993896,9700.0
sodo dachi,oromiya,south wollo,8.46248068672,38.6825471459,42.0,0.0,2587.92834854,560.944546223,50168.166626,6.42745228577,477.728881836,24545.3936768,59.2231826782,792.0,11501.3890381,7100.0
sodo town,snnpr,wolayta,6.852969,37.763526,248.0,0.0,30.2272656858,5.97261504829,416.08367157,0.497483416557,200.139472961,2022.66786194,62.054233551,1039.5,441.7460289,2718.18180847
sodo zuria,snnpr,wolayta,6.82709350223,37.7318552948,239.0,0.0,69.3849378228,49.1642763,2498.6005249,2.05834825134,279.311775208,9440.57940674,298.792438507,1039.5,2335.02041626,7200.0
sodo,snnpr,gurage,8.27982236099,38.5500620905,342.0,0.0,751.075606346,378.068779022,53466.0617065,1.57676391792,1127.76004028,21990.0184937,281.904205322,1039.5,10585.5708618,4741.95979309
sofi,harreri,harreri,9.28375,42.16593,101.0,0.0,852.065937161,442.605788469,16668.6427002,1.80697674561,300.0,11519.944829,200.0,554.0,6466.66662598,5514.04763794
sokoru,oromiya,jimma,7.98739203373,37.4550905979,66.0,0.0,1880.60941076,681.096630394,53067.7365723,8.60779560471,651.861877441,84019.2338867,360.262023926,1736.0,28556.4001465,16686.7149734
soro,snnpr,hadiya,7.42704755361,37.5416058623,167.0,0.0,11563.4541016,4720.10570526,309601.25705,9.34502867126,749.162506103,22679.8044434,27.0739974976,1039.5,2866.18841553,5997.28966522
south ari,snnpr,south omo,5.88482550665,36.5044288475,27.0,0.0,139.347346097,513.933989033,191884.480042,2.06798216248,393.017936707,11806.4642029,229.917053223,1039.5,3082.51412964,4017.78478432
south bench,snnpr,bench maji,6.87499863471,35.5081711376,106.0,0.0,179.951757468,120.462689346,27821.2492065,4.93893283081,961.952667236,17941.4970703,0.0,1039.5,4679.90339661,9383.33334351
sude,oromiya,arsi,8.00251172397,39.8077919538,106.0,0.0,10380.4740143,6007.19413757,17389.2515869,3.93454437542,749.162506103,19054.719902,200.0,1198.0,8297.91661835,12880.0
sululta,oromiya,finfine special,9.30163124938,38.8143402437,187.0,0.0,2262.37107801,277.059236765,231817.92627,7.20393126678,91.5254211426,16772.9449158,333.941101074,1405.0,9451.66644287,14900.0
surma,snnpr,bench maji,5.89615070154,35.2610832501,7.0,0.0,702.427845955,956.688941956,14350.9801255,2.87301331329,749.162506103,18915.9616089,100.0,1039.5,100.0,4175.0
t/adiabo,tigray,tigray,14.42669066,37.7896699285,98.0,0.0,879.204579353,669.013144612,12984.6336479,21.5541358337,1463.03381348,32611.7686157,129.309768677,2017.0,8783.33328247,17135.8758469
t/koraro,tigray,tigray,14.0962285937,38.2858285786,43.0,0.0,1210.1677742,456.050238848,32621.1733398,14.3942468567,854.309448242,29143.6376953,166.522537231,1204.0,9591.66668701,8502.62072754
tach armachiho,amhara,north gondar,13.0338500713,37.0735643871,157.0,0.0,2615.54079819,1467.98459578,130522.856201,40.2695950317,1516.59313965,34128.2340088,681.506103516,2304.0,19591.666626,23409.5848618
tach gaint,amhara,south gondar,11.5598413175,38.5593729143,154.0,0.0,13337.130188,1855.21433067,206661.34436,28.4836784058,970.03894043,17780.7186584,509.090698242,1658.0,11066.6665802,14020.0
tahtay maichew,tigray,tigray,14.0834587666,38.5850980572,62.0,0.0,1729.80703545,1144.67355156,895604.398438,23.8069463501,543.40625,42181.0775146,200.0,1246.0,8975.25128174,9972.73550415
takusa,amhara,north gondar,12.2225865653,36.7721600063,167.0,0.0,338.418257236,203.37310338,25585.8588867,27.4668484497,2392.19775391,49848.9989014,468.167602539,1439.0,21088.8886719,16361.1765137
taltale,oromiya,borena,4.74805418955,37.3296640674,44.0,0.0,2376.90321112,1463.67989874,5356.35449219,12.4536856842,743.325012207,17893.0361328,200.0,883.0,2679.1665802,4326.40693665
tanqua abergele,tigray,tigray,13.4027821783,38.8928225849,94.0,0.0,3012.82875824,1523.563061,338270.994629,20.6897662354,424.294128418,41730.7602539,140.814453125,1481.0,9620.55541992,14099.9999695
tarmaber,amhara,north shoa,9.86025711291,39.8213635388,146.0,0.0,381.789346516,571.90734899,11584.8689575,2.15374900246,796.289367676,38150.5670166,386.712646484,1349.0,10925.000061,14166.6666565
tegedae,amhara,north gondar,13.2937131422,37.0539809342,130.0,0.0,3901.10614777,4272.22736394,156558.893921,27.7386650696,1151.06445312,10751.5437241,399.365020752,998.0,9083.33306885,8088.57142639
tehuldere,amhara,south wolo,11.3138439113,39.6907075419,176.0,0.0,3287.58450699,2453.36860037,14888.2878418,3.65332967758,0.0,29275.184021,493.86151123,1488.0,4000.00003052,10300.0
telalak,afar,afar,11.0752742231,40.378880562,72.0,0.0,4363.01720047,4484.63023376,0.0,7.56381046295,749.162506103,533.333332062,200.0,483.0,650.0,3358.33330917
telemt,amhara,north gondar,13.4561472479,38.4099033703,120.0,0.0,7704.153162,2292.02036858,8078.9354248,11.9633992615,707.43939209,2379.97610664,0.00454776547849,891.0,9658.33331299,7740.54534149
tello,snnpr,kaffa,7.09831164058,36.454126494,52.0,0.0,57.5784027576,13.3135858271,863.93788147,0.643378887653,272.786933899,1820.14016342,744.35294342,1039.5,640.020458221,2236.50925446
tembaro,snnpr,kembata tembaro,7.26069489492,37.4844016438,163.0,6.0,858.598995686,668.983843565,514150.202606,1.06935522926,524.984191895,5149.46476364,317.611602783,1039.5,1903.49772644,4737.4725647
tena,oromiya,arsi,7.76948660431,39.5065807132,106.0,0.0,2819.38911057,842.30762434,51811.7126617,1.24270885849,749.162506103,7477.53805542,200.0,1070.0,4466.66665649,7033.33328247
tenta,amhara,south wolo,11.2221703789,39.2229514443,193.0,0.0,7996.31360626,1598.90665436,23300.2758789,2.88931596947,1814.44519043,52699.8323975,855.413696289,2596.0,29366.666748,30040.0
teppi,snnpr,sheka,7.198191,35.428333,74.0,0.0,5.37733125687,76.6666641235,14350.9801255,0.646806173801,749.162506103,18915.9616089,57.16340065,1039.5,100.0,1500.0
tercha,snnpr,dawro,7.147782,37.1721,29.0,0.0,73.620421052,191.146075249,14350.9801255,0.21028526926,749.162506103,18915.9616089,99.6684341431,1039.5,4466.66665649,1900.0
teru,afar,afar,12.6246432148,40.3949144887,14.0,0.0,796.348827124,1092.54427195,71.5107803345,3.82519681549,299.262908936,100.0,200.0,463.0,4466.66665649,2916.66664886
tiro afeta,oromiya,jimma,7.97202875827,37.2628468293,106.0,0.0,3620.43498802,2058.54794264,19970.4979248,5.81929589844,749.162506103,24806.12677,200.0,1583.0,11130.8331909,12555.2381439
tiyo,oromiya,arsi,7.8874619466,39.1151977558,106.0,0.0,1908.22175789,1319.57773352,10042.615387,2.03864471531,749.162506103,25664.3896484,200.0,1041.0,11408.333252,13064.6853027
tocha,snnpr,dawro,7.10885920815,36.9660380654,165.0,0.0,197.496167421,777.080179675,5516.80099487,8.42500593567,485.570678711,9480.34985352,168.678676605,1039.5,3579.25366211,2315.55104828
toke kutaye,oromiya,west shoa,8.94371774182,37.6958268329,26.0,0.0,3885.57322311,1485.35691786,38159.9909668,13.3393815002,1097.76123047,28236.1065063,164.338226318,1198.0,6550.90142822,7625.0
tole,oromiya,south wollo,8.61598626204,38.3987597352,106.0,0.0,2491.82766724,448.806232333,22429.9086914,14.1886197205,822.281494141,18942.921051,100.0,1233.0,9527.24353027,12469.6428909
tsegedie,tigray,tigray,13.4904625859,37.0564348652,106.0,0.0,2104.63653946,2089.03390551,80574.5144043,30.6465655518,749.162506103,46005.2384033,200.0,1339.0,2583.33328247,11401.7676697
tselemti,tigray,tigray,13.6290267336,38.1600483674,106.0,0.0,10463.652832,2051.52809143,403000.402222,25.2039922028,749.162506103,40357.5333252,200.0,2040.0,10740.09729,16485.3175049
tulli guled,somali,somali,9.616357,42.750231,69.0,0.0,4601.45542908,2252.96398163,479.30670166,5.5703074646,1200.0,3225.0,158.333328247,559.0,1162.85717773,2515.47619629
