Location,Region Name,Zone Name,lat,lng,Number of staff,Number of Doctors,Percentage of underweight Children,Proportion of children 6-59 months with severe acute malnutrition,Proportion of HHs using latrine,Malaria rate,Proportion of  households covered with mosquito bed nets(LLIN),Proportion of functional 1 to 5 networks,Health budget utilization,Essential drugs availability,Integrated Supportive supervision,Reporting completeness
koneba,afar,afar,13.9029295126,39.9440138069,106.0,0.0,869.462947845,448.830495119,14350.9801255,0.674805557251,749.162506103,18915.9616089,200.0,112.0,4466.66665649,504.545454502
konso,snnpr,segen,5.35219550497,37.3940454022,106.0,0.0,237.955967426,112.863972247,14350.9801255,0.442305145264,749.162506103,2165.91986847,200.0,1039.5,220.833332062,2432.12355042
konta sw,snnpr,konta,6.86912308336,36.6038753686,34.0,0.0,44.7386901379,109.416535258,1894.81874466,0.919391477585,167.033248901,2186.19500351,51.7168884277,1039.5,432.198707581,2064.84088898
korem town,tigray,tigray,12.509256,39.519882,112.0,0.0,585.480201244,169.76512973,14350.9801255,0.700648309231,749.162506103,18915.9616089,14.2388277054,286.0,250.0,3569.2307663
kori,afar,afar,12.5370557633,40.9312037895,106.0,0.0,45.4545440674,71.5999999046,14350.9801255,0.115833335876,749.162506103,18915.9616089,200.0,37.0,100.0,400.0
kucha,snnpr,gamo gofa,6.51575584285,37.3642199367,337.0,0.0,12.7284770757,11.0908251405,2413.5974884,1.18248412514,301.370910645,4026.97953796,127.327987671,1039.5,1285.92708588,2371.68101501
kurfa,oromiya,east hararge,9.24075390066,41.8620124952,23.0,0.0,5933.99942017,692.189787388,78715.0904541,8.48870333099,1043.76806641,24608.4454346,200.0,864.0,6978.41265869,8898.91439819
kurmuk,benishangul-gumuz,benishangul-gumuz,10.5543029304,34.4503206205,106.0,0.0,1610.40937948,1225.37276936,47095.7635498,14.2164537983,749.162506103,13642.4445114,200.0,391.0,566.666664124,1580.0
kutaber,amhara,south wolo,11.2755453366,39.4621667243,114.0,0.0,5934.27329254,835.257678986,13910.8015137,3.30719735527,749.162506103,34080.8579102,200.0,1387.0,12833.3334122,11269.3332825
kuyu,oromiya,north shoa,9.74325582512,38.3225680507,299.0,6.0,5203.79396057,2650.74122286,372107.757446,20.6528152161,1300.0,39603.5039062,259.180480957,1880.0,17583.3335571,15807.9086075
